,date_interval,Inbound,Outbound,Shift
460,2019-04-05,38.0,19.0,11.0
461,2019-04-06,38.0,40.0,5.0
462,2019-04-07,17.0,39.0,5.0
463,2019-04-08,28.0,39.0,9.0
464,2019-04-09,40.0,48.0,13.0
465,2019-04-10,40.0,52.0,12.0
466,2019-04-11,54.0,38.0,14.0
467,2019-04-12,55.0,51.0,14.0
468,2019-04-13,47.0,38.0,10.0
469,2019-04-14,39.0,40.0,7.0
470,2019-04-15,36.0,42.0,11.0
471,2019-04-16,46.0,37.0,12.0
472,2019-04-17,39.0,46.0,8.0
473,2019-04-18,37.0,24.0,8.0
474,2019-04-19,44.0,50.0,8.0
475,2019-04-20,33.0,39.0,9.0
476,2019-04-21,36.0,40.0,11.0
477,2019-04-22,33.0,28.0,13.0
478,2019-04-23,26.0,37.0,11.0
479,2019-04-24,38.0,52.0,8.0
480,2019-04-25,38.0,36.0,14.0
481,2019-04-26,44.0,41.0,10.0
482,2019-04-27,26.0,28.0,16.0
483,2019-04-28,35.0,36.0,9.0
484,2019-04-29,39.0,41.0,7.0
485,2019-04-30,35.0,36.0,22.0
486,2019-05-01,23.0,28.0,14.0
487,2019-05-02,52.0,42.0,16.0
488,2019-05-03,35.0,37.0,12.0
489,2019-05-04,33.0,27.0,9.0
490,2019-05-05,33.0,42.0,3.0
491,2019-05-06,37.0,35.0,12.0
492,2019-05-07,31.0,32.0,7.0
493,2019-05-08,35.0,33.0,9.0
494,2019-05-09,45.0,42.0,12.0
495,2019-05-10,24.0,30.0,20.0
496,2019-05-11,14.0,18.0,6.0
497,2019-05-12,48.0,23.0,8.0
498,2019-05-13,14.0,45.0,11.0
499,2019-05-14,27.0,35.0,10.0
500,2019-05-15,34.0,49.0,16.0
501,2019-05-16,30.0,47.0,15.0
502,2019-05-17,39.0,47.0,12.0
503,2019-05-18,43.0,33.0,17.0
504,2019-05-19,38.0,32.0,9.0
505,2019-05-20,35.0,26.0,18.0
506,2019-05-21,35.0,29.0,17.0
507,2019-05-22,23.0,29.0,16.0
508,2019-05-23,36.0,32.0,15.0
509,2019-05-24,43.0,41.0,14.0
510,2019-05-25,33.0,28.0,8.0
